name;duration;genre_id;disc_number;track_number;;uri;explicit;popularity
Big Yellow Taxi;134800;93;1;10;;https://p.scdn.co/mp3-preview/48c0b1294058b0006ceb0cdaf84958cb51da45a7?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;71
Billie Jean;293826;40;1;6;;https://p.scdn.co/mp3-preview/f504e6b8e037771318656394f532dede4f9bcaea?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;84
Bismarck;313984;79;1;1;;https://p.scdn.co/mp3-preview/fe1557be71d8eca046aaa8eb3c913db17b97d0f7?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;67
Bizarre Love Triangle;263213;135;1;6;;https://p.scdn.co/mp3-preview/9919011c37f35242b40b1e6aa8b822af07cee86b?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;66
Black;248906;95;1;1;;https://p.scdn.co/mp3-preview/51fdb76735e7129317bc8f8995f21365414da4b1?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;54
Black Balloon;249533;1;1;5;;https://p.scdn.co/mp3-preview/abd046593c3a4ed0cb384f9a7f3a0246b9801e9a?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;60
Black Diamond - Remastered 2016;341000;40;1;24;;https://p.scdn.co/mp3-preview/d96f11e7fdd92e79101725848763435ac968a4d4?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;50
Black Honey;239450;22;1;7;;https://p.scdn.co/mp3-preview/5597144cc3b18d706d3cd7ee9e1802af6dcaddd4?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;60
Black Hoodie;209746;93;1;11;;https://p.scdn.co/mp3-preview/b5bd9a7be3eac71a9afb032e1f5bc0b6836867b3?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;46
Black Metal;221693;93;1;1;;https://p.scdn.co/mp3-preview/2307e32b60c776dc0814357470d18b2ff28d69e4?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;51
Black No. 1 (Little Miss Scare -All);675653;17;1;3;;https://p.scdn.co/mp3-preview/4423468936eb9adb4d5d20e4895a5ec0e98f977d?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;46
Black or White - Remastered Version;256279;40;1;11;;https://p.scdn.co/mp3-preview/90dadc78b6b4dd26c0667a02169c8d815590d308?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;47
Black Velvet;287440;138;1;3;;https://p.scdn.co/mp3-preview/95abdfdeddbab5212c6a95f04a95aabb1e3f2dbe?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;72
